,institute,citation_count,article_count
2057,Yong Loo Lin School of Medicine,0,1
2058,Yamaguchi University,0,1
2059,User Interface Design GmbH,0,1
2060,ATB - Institut für angewandte Systemtechnik Bremen GmbH,0,1
2061,ATHENA Research Center,0,1
2062,Wuhan University,0,1
2063,AUSL Valle d'Aosta,0,1
2064,Aalborg Hospital,0,1
2065,Aalen University of Applied Sciences,0,1
2066,Aarhus University,0,1
2067,Ab.Acus s.r.l.m,0,1
2068,Work Wellness Institute,0,1
2069,Wiseware Solutions,0,1
2070,Winthrop P. Rockefeller Cancer Institute,0,1
2071,Zhangzhou Municipal Hospital of Fujian Province,0,1
2072,bioMérieux,0,1
2073,APHM,0,2
2074,AP-HP/DRCI,0,1
2075,3M Deutschland GmbH,0,1
2076,3aHealth,0,1
2077,3rd Regional Healthcare Authority,0,1
2078,5 DEGRÉS,0,1
2079,École Supérieure d'Informatique (ESI),0,1
2080,Äänekoski Town Primary Healthcare Centre,0,1
2081,telbiomed Medizintechnik und IT Service GmbH,0,1
2082,ADAPT Centre,0,1
2083,AHEPA General University Hospital,0,1
2084,nCoup Inc.,0,1
2085,AIIM,0,1
2086,AIT Austrian Institute of Technology,0,6
2087,AKEDIS GmbH,0,1
2088,fragmentiX Storage Solutions GmbH,0,1
2089,empirica Gesellschaft für Kommunikations- und Technologieforschung mbH,0,1
2090,ALICANTE SARL,0,1
2091,empirica Communication and Technology Research,0,1
2092,ePA-CC GmbH,0,3
2093,AMIS,0,4
2094,eHealth Suisse,0,1
2095,ANADIM,0,1
2096,AP-HP Necker-Enfants Malades Hospital,0,1
2097,AP-HP Pitié Salpêtrière,0,1
2098,Abt. Medizinische Biometrie,0,1
2099,Abteilung Epidemiologie des Instituts für Soziale Medizin UKBF,0,1
2100,Whitestein Technologies AG,0,1
2101,"Algebra, Discrete Mathematics and Informatics Laboratory",0,1
2102,Virgen Macarena - Virgen del Rocío Univ. Hospitals,0,1
2103,Vilnius University Hospital Santaros Klinikos,0,2
2104,Amalia Fleming General Hospital,0,3
2105,Vidavo Ltd.,0,1
2106,American University of Kuwait,0,1
2107,Vice Dean for Teaching and Learning,0,1
2108,Amrita Center for Wireless Networks and Applications,0,1
2109,Versailles Hospital,0,1
2110,Amrita Institute of Medical Sciences,0,1
2111,Amrita University,0,1
2112,Varian Medical Systems Inc.,0,1
2113,Amsterdam Gastroenterology and Metabolism,0,1
2114,Amsterdam University Medical Centres,0,1
2115,VTT Technical Research Centre of Finland Ltd.,0,1
2116,Anaptixiaki Meletitiki Voriou Ellados,0,2
2117,VILABS,0,1
2118,Antidot,0,1
2119,Applied Artificial Intelligence Institute,0,1
2120,Applied Mathematical Physiology (AMP) Lab,0,1
2121,V-CHI,0,1
2122,Uusimaa Hospital District,0,1
2123,Utrecht University,0,1
2124,Usher Institute,0,3
2125,Alma Mater Studiorum,0,1
2126,Akershus University Hospital,0,4
2127,Western Norway Research Institute,0,1
2128,Virtual University of Medical Sciences,0,1
2129,Academic Medical Center Greifswald,0,1
2130,Academic Medical Centre,0,2
2131,Wellcome-Wolfson Institute for Experimental Medicine,0,8
2132,WellSpan Health,0,1
2133,Academic Medical Centre (AMC) - Universiteit van Amsterdam,0,1
2134,Weill Cornell Medicine,0,1
2135,Weill Cornell Medical College,0,1
2136,Warwick Business School,0,1
2137,Warwick Applied Health,0,1
2138,Academic Unit of Neurology,0,1
2139,Academy of Athens,0,1
2140,WaX info Ltd,0,1
2141,Academy of Medical Sciences of Bosnia and Herzegovina,0,1
2142,WMG,0,1
2143,WHO Collaborating Center for Primary Health Care Nursing,0,1
2144,WHO,0,1
2145,Academy of Sciences,0,1
2146,Agence Régionale de Santé Hauts-de-France,0,1
2147,Agence du Numérique en Santé,0,1
2148,"Agostino Gemelli Polyclinic Foundation, IRCCS - Catholic University of the Sacred Heart",0,1
2149,Vittore Buzzi Children's Hospital,0,1
2150,VirtualCare,0,1
2151,Aileen Health,0,1
2152,Biomedical Research Institute,0,2
2153,Biomeris S.r.l.,0,1
2154,University Hospital of Gießen and Marburg,0,1
2155,Timeless Plastic Surgery Clinic,0,1
2156,Tottori University,0,1
2157,Torrens University,0,1
2158,CIRI (Centre International de Recherche en Infectiologie),0,1
2159,Ton Duc Thang University,0,1
2160,CISMeF & TIBS LITIS EA 4108,0,1
2161,Tokyo Women's Medical University,0,1
2162,Tokyo Medical and Dental University Hospital,0,1
2163,CISMeF-TIBS-LITIS EA 4108,0,1
2164,Tokai University,0,3
2165,Tohoku University Hospital,0,2
2166,Tirol Kliniken GmbH,0,1
2167,CITIC,0,1
2168,University Hospital of Giessen and Marburg,0,3
2169,The University of Tokyo Hospital,0,1
2170,CNR,0,2
2171,The Swedish Society of Medicine,0,1
2172,The Sense research and innovation center,0,1
2173,CNR Institute of Clinical Physiology,0,1
2174,CNR-IEIIT,0,1
2175,The Open Group,0,3
2176,The Norwegian Nurses Organisation,0,1
2177,The Norwegian EHR Research Centre,0,1
2178,The NEPI Foundation,0,2
2179,The Kirby Institute,0,1
2180,Tottori University Hospital,0,1
2181,Toyama University Hospital,0,1
2182,Training and Research Center of Medical Technology,0,2
2183,Transfaculty Research Platform Molecular and Cognitive Neurosciences,0,1
2184,UDSL EA 2694,0,1
2185,CIBERSAM,0,1
2186,UCL Institute of Education,0,1
2187,U.S. National Library of Medicine,0,1
2188,Tyrolean Federal Institute for Integrated Care,0,2
2189,Turku University Hospital,0,1
2190,CID GmbH,0,1
2191,CIIPS,0,1
2192,CINECA Consorzio Interuniversitario,0,1
2193,Tulsa Dermatology Clinic,0,1
2194,CINES Centre Informatique National de l'Enseignement Supérieur,0,1
2195,Tropical Health Innovation Research Unit,0,1
2196,TripleBlind,0,1
2197,CINTESIS - Center for Health Technology and Services Research,0,1
2198,Trinity College Dublin,0,2
2199,CINTESIS - Center for Research in Health Technologies and Information Systems,0,1
2200,Trillium Health Partners,0,1
2201,Trifork,0,1
2202,Trier University of Applied Sciences,0,1
2203,Trialog,0,1
2204,CINTESIS - Centre for Health Technologies and Services Research,0,1
2205,TriNetX,0,1
2206,CINTESIS@RISE,0,4
2207,The Johns Hopkins Molecular Tumor Board,0,1
2208,The Health eResearch Centre and The Farr Institute,0,1
2209,CNRS STL UMR 8163,0,1
2210,Cancer Research And Biostatistics (CRAB),0,1
2211,Canon Medical Systems Corporation,0,1
2212,Technical University of Applied Sciences Augsburg,0,1
2213,Technical Medical Centre,0,1
2214,Techna Institute,0,1
2215,TechMed Centre,0,1
2216,Tecfa,0,1
2217,Cappelen Damm,0,1
2218,Tazuke-kofukai Medical Research Institute KITANO HOSPITAL,0,1
2219,Tasmanian School of Medicine,0,1
2220,Care Supply General Direction - DGOS,0,1
2221,Tampere University of Technology,0,1
2222,Tampere University Hospital,0,3
2223,Taltech,0,1
2224,Care and Public Health Research Institute,0,1
2225,TalTech,0,3
2226,Taipei Neuroscience Institute,0,2
2227,Taipei Medical University Hospital,0,1
2228,Care for Care bv,0,1
2229,Caring Practices Professional Master Program,0,1
2230,Taichung Veterans General Hospital,0,1
2231,TNO-pg,0,1
2232,TNO Prevention and Health,0,1
2233,CaringKind,0,1
2234,Technical University of Valencia,0,1
2235,Technische Universität Dresden,0,2
2236,CNRS UMR 8163,0,1
2237,Technological Education Institute of Athens,0,3
2238,CNRS UPS 3088,0,1
2239,COGITO Center,0,1
2240,CSEM SA,0,1
2241,The Catholic University of Korea,0,3
2242,Danish Centre for HealthTelematics,0,1
2243,CSIC,0,1
2244,CYENS Centre of Excellence,0,4
2245,Cabrini Health,0,1
2246,Terveystalo Healthcare,0,1
2247,Cambio Healthcare Systems AB,0,1
2248,Campus Institute Data Science,0,1
2249,Telematics Research Centre,0,1
2250,Campus Institute Data Science (CIDAS),0,2
2251,Telecom Paris,0,1
2252,Campus Institute of Data Sciences,0,1
2253,Teikyo University,0,1
2254,Tehran University of Medical Sciences,0,1
2255,Campus-Institute of Data Science (CIDAS),0,1
2256,Technology and Methods Platform for Networked Medical Research,0,1
2257,Technological University Dublin,0,1
2258,Canadian Institute for Health Information,0,1
2259,Cancer Regional Centre of Rennes,0,1
2260,Technological Educational Institute,0,1
2261,UFR de Médecine,0,1
2262,UFR-SEA,0,1
2263,UFR3S - Ingénierie et Management de la Santé,0,3
2264,Burdenko Main Military Clinical Hospital,0,1
2265,C.I.R.S.F.I.D.,0,1
2266,University Hospital Augsburg,0,2
2267,University Hospital Aachen,0,2
2268,CAPHRI Care and Public Health Research Institute,0,1
2269,University Côte d'Azur,0,1
2270,University College of Nursing Studies,0,1
2271,CARID (Cardiovascular Research Institute Düsseldorf),0,1
2272,University College London Hospital,0,1
2273,University Clinical Centre of Serbia,0,1
2274,University Clinic of Obstetrics and Gynecology Bega,0,1
2275,University Clinic Schleswig-Holstein,0,1
2276,CBIOS - Universidade Lusófona's Research Center for Biosciences & Health Technologies,0,1
2277,CBmed GmbH,0,1
2278,"University Cancer Center Schleswig-Holstein, University Hospital Schleswig-Holstein",0,1
2279,CBmed GmbH - Center for Biomarker Research in Medicine,0,1
2280,University AS Osnabrück,0,4
2281,Universiti Kebangsaan Malaysia,0,1
2282,Universitat Politècnica de València,0,1
2283,Universitat Politècnica de Catalunya - BarcelonaTech,0,1
2284,Universitat Politècnica de Catalunya - Barcelona TECH,0,1
2285,CCRI,0,2
2286,"CCSSDM-Centre for Health Computing, Statistics and Medical Documentation",0,1
2287,Universitas Miguel Hernandez,0,1
2288,Béthune Hospital Center,0,1
2289,University Hospital Carl Gustav Carus,0,2
2290,Universidade de Santiago de Compostela,0,1
2291,University Hospital Dr Dragisa Misovic-Dedinje,0,1
2292,Biometrisches Zentrum NORD beim MDK Schleswig-Holstein,0,1
2293,University Hospital of Freiburg,0,1
2294,Biomimetics and Intelligent Systems Group,0,1
2295,University Hospital of Endocrinology and Gerontology,0,1
2296,University Hospital of Augsburg,0,1
2297,Biotrast S.A.,0,1
2298,University Hospital Schleswig-Holstein,0,5
2299,University Hospital RWTH Aachen,0,1
2300,Blizard Institute,0,1
2301,Bordeaux Population Health Research Center,0,1
2302,Bordeaux Univ. Hospital,0,1
2303,Bordeaux University Hospital,0,1
2304,University Hospital Magdeburg,0,1
2305,Bornholdt Lee GmbH,0,1
2306,Bradford Teaching Hospitals NHS Foundation Trust,0,2
2307,Brigham and Women's Hospital,0,1
2308,University Hospital Goettingen,0,1
2309,British Columbia Support Unit,0,1
2310,Broad Institute,0,1
2311,"University Hospital Frankfurt, Institute of Medical Informatics",0,1
2312,University Hospital Frankfurt am Main,0,1
2313,Broussais Hospital,0,1
2314,University Hospital Essen,0,1
2315,Universita Cattolica del Sacro Cuore,0,1
2316,CDC,0,2
2317,UIT,0,2
2318,CHU Montpellier,0,2
2319,CHU Nîmes,0,1
2320,UPC,0,1
2321,UPB,0,1
2322,UNINOVA,0,1
2323,UNC Health,0,1
2324,UNC,0,1
2325,CHU Rouen,0,7
2326,UMR_S 1142,0,1
2327,UMR912 SESSTIM Inserm,0,1
2328,UMR CNRS 8163 - STL,0,1
2329,CHU d'Angers,0,1
2330,UMR 912 SESSTIM Inserm,0,1
2331,UMR 9007 CNRS,0,1
2332,"CHU de Brest, LATIM",0,1
2333,"UMR 7606, LIP6",0,1
2334,UMR 7563,0,1
2335,UMIT TIROL GmbH,0,1
2336,UMIT TIROL - Private University for Health Sciences and Health Technology,0,2
2337,UMIST,0,3
2338,CHU de Rennes,0,3
2339,ULR2694,0,1
2340,UKSH Lübeck,0,1
2341,CHU de Saint Etienne,0,2
2342,"CHU Nantes, CDC, INSERM, CIC 1413",0,1
2343,CHU Medical Informatics Laboratory,0,1
2344,"CEA, List",0,2
2345,USF Homem do Leme,0,1
2346,Universidad de Sevilla,0,3
2347,CECAD,0,1
2348,CEN TC/251,0,1
2349,CENTAL,0,1
2350,CERIM Lab - EA 2694,0,1
2351,CERIST,0,1
2352,CERN,0,1
2353,CGD Health Pvt. Ltd.,0,1
2354,CHIP,0,1
2355,Univ.-Klinik Innsbruck,0,1
2356,CHRU Lille,0,1
2357,Univ. Medical Center Göttingen,0,1
2358,Univ Paris Cité,0,1
2359,Unité Inserm U936,0,2
2360,CHRU de Lille,0,1
2361,CHRU de Tours,0,4
2362,CHRU-Nancy,0,1
2363,CHU Angers,0,2
2364,UiT - The Arctic University of Norway,0,1
2365,Ubon Ratchathani Provincial Health Office,0,1
2366,Ubitech,0,1
2367,CHU Juan Canalejo,0,1
2368,USM,0,3
2369,Queen Mary University of London,0,1
2370,Pharmacology and Clinical Pharmacy Laboratory,0,1
2371,QuaSi-Niere gGmbH,0,1
2372,Hellenic Mediterranean University,0,2
2373,Healthropy,0,1
2374,Healthropy s.r.l.,0,2
2375,JRC,0,1
2376,Healthymity,0,1
2377,Heart Rehabilitation Centre,0,2
2378,JMIR Publications,0,1
2379,J. Stefan Institute,0,1
2380,Heart and Diabetes Centre Northrhine-Westphalia,0,1
2381,Heidelberg Institute for Theoretical Studies (HITS),0,1
2382,Italian Society of Medical Education,0,1
2383,Helgeland Hospital Trust,0,1
2384,Istituto di Analisi dei Sistemi ed Informatica C.N.R.,0,1
2385,Janssen Research and Development,0,2
2386,Hellenic National Organization for the Provision of Health Services,0,1
2387,Hellenic Society of Gastrointestinal Oncology,0,1
2388,Istituto Nazionale Neurologico C. Besta,0,1
2389,Istituto Italiano Per La Privacy,0,1
2390,Istituto Dermopatico dell'Immacolata,0,1
2391,Istituti Clinici Scientifici Maugeri SpA SB IRCCS,0,1
2392,Istanbul Technical University,0,2
2393,Helmholtz Zentrum München - German Research Center for Environmental Health,0,1
2394,Helse Vest IKT,0,1
2395,Irving Medical Center,0,1
2396,Iris Institute,0,1
2397,Healthplus.ai,0,1
2398,Japan IBM Corporation,0,1
2399,Qare,0,2
2400,Health Policy Institute,0,1
2401,Health Information and Strategy Center,0,1
2402,Justus-Liebig-Universität,0,3
2403,Health Institute Carlos III,0,1
2404,Junior Research Group (Bio-)medical Data Science,0,1
2405,Health Insurance Institute of Slovenia,0,9
2406,Julius Center for Health Sciences and Primary Care,0,1
2407,Jules-Gonin Eye Hospital,0,1
2408,Jozef Stefan Institute,0,2
2409,Joinville Stroke Registry,0,2
2410,Health Management and Economics Research Center,0,1
2411,Health Ministry,0,1
2412,Johns Hopkins School of Medicine,0,2
2413,Health on the net Foundation,0,2
2414,Johns Hopkins Molecular Tumor Board,0,1
2415,Johns Hopkins Clinical Research Network,0,1
2416,John Hunter Hospital,0,1
2417,Health Technology Certification Limited,0,1
2418,Joanneum Research,0,1
2419,Jiaxing University,0,1
2420,Health and Biomedical Informatics Research Centre,0,1
2421,Health and Environments Research Centre (HERC) Laboratory,0,1
2422,Health informatics and Knowledge Engineering Group (HiKER),0,1
2423,Jean Verdier Hospital - APHP,0,1
2424,Japanese Nursing Association,0,2
2425,Helseplattformen a/s,0,1
2426,Helsinki University Central Hospital,0,1
2427,International Medical Informatics Association,0,2
2428,Institute of Social Medicine,0,1
2429,Hospital Health Direction,0,1
2430,Instituto Universitario de Investigación de Aplicaciones de las Tecnologías de la Información y de las Comunicaciones Avanzadas,0,1
2431,Instituto Universitario Hospital Italiano,0,1
2432,Hospital Rivierenland,0,4
2433,Instituto Português de Oncologia,0,1
2434,Hospital Universitario y Politécnico La Fe,0,1
2435,Institute of eHealth,0,3
2436,Hospital of Philipps-University,0,1
2437,"Institute of Thermal, Mechanical and Material Sciences (ITheMM EA 7548)",0,1
2438,Institute of Technical and Business Information Systems,0,2
2439,Hospitals of Funen,0,1
2440,Institute of Signal Processing,0,1
2441,International Journal of Medical Informatics,0,1
2442,Huazhong University of Science and Technology,0,1
2443,Institute of Public Health of the Republic of Slovenia,0,2
2444,Institute of Public Health Prof. Dr. Leonida Georgescu,0,1
2445,Institute of Public Health Pancevo,0,1
2446,Hvidovre Hospital,0,1
2447,Institute of Psychiatry and Neuroscience of Paris,0,2
2448,Institute of Population Health,0,1
2449,Hygeia Hospital,0,1
2450,Institute of Physiology,0,1
2451,"Hôpital Antoine-Béclère, Assistance Publique Hôpitaux de Paris",0,1
2452,Institute of Nursing Science,0,1
2453,Instituto de Aplicaciones de las Tecnologías de la Información y de las Comunicaciones Avanzadas,0,1
2454,Hospital Garcia de Orta,0,1
2455,Hospital Egas Moniz,0,1
2456,Instituto de Ingeniería Informática (I3US),0,2
2457,Henri Mondor University Hospital,0,1
2458,International Federation of Health Information Management Associations,0,1
2459,Heriot-Watt University,0,1
2460,Hertie-Institute for Clinical Brain Research,0,1
2461,Herzfeld Geriatric Rehabilitation Medical Center,0,2
2462,International Business School,0,1
2463,Intermountain Healthcare,0,2
2464,High Mark Blue Cross Blue Shield,0,1
2465,Higher School of Economics - National Research University,0,1
2466,Interdisciplinary Center for Clinical Research (IZKF),0,1
2467,Hiroshima University Hospital,0,1
2468,Hirslanden - Clinique des Grangettes,0,1
2469,Hochschule Niederrhein,0,1
2470,Intercountry Centre for Oral Health,0,3
2471,InterHop,0,2
2472,Intelligent Systems Laboratory,0,1
2473,Integrationsprogramm Arbeit und Gesundheit von Unfallversicherung und Krankenkassen (IPAG),0,1
2474,Integrating the Healthcare Enterprise,0,1
2475,Instituto de Telecomunicações,0,1
2476,Hogskolan,0,1
2477,Hospital Arnau de Vilanova,0,1
2478,Hospital August 20,0,1
2479,Hospital Clinic de Barcelona,0,1
2480,KASHMIR-DataReuse Lab,0,2
2481,Health Information Systems Office,0,3
2482,Health Information System Service,0,1
2483,LEP AG,0,3
2484,LIMICS Laboratory of Medical Informatics and Knowledge Engineering in e-Health,0,1
2485,LIMICS (INSERM UMRS 1142),0,2
2486,LIMICS (INSERM U1142),0,1
2487,H4A Primary Healthcare Research Network,0,1
2488,LIM&Bio EA 3969,0,1
2489,LIM&BIO,0,1
2490,HEGP,0,1
2491,HES-SO Geneva,0,1
2492,LIFE - Leipzig Research Centre for Civilization Disease,0,1
2493,HES-SO Valais,0,1
2494,LEPS,0,2
2495,L@STICS,0,1
2496,HL7 International Foundation,0,1
2497,HIETE University of Health Sciences,0,1
2498,HIS R&D Unit,0,2
2499,HISCOM,0,2
2500,HL7 Chile,0,1
2501,Kyung Hee University Medical Center,0,1
2502,HL7 Europe,0,5
2503,Kyoto University,0,2
2504,Kymenlaakso Central Hospital,0,1
2505,HL7 Germany,0,1
2506,Kuopio Research Institute of Exercise Medicine,0,1
2507,Ksyos Health Management Research,0,2
2508,LIMICS U1142,0,2
2509,Grenoble University Hospital,0,1
2510,"LIMICS, INSERM, UMR 1142",0,1
2511,Graduate School of Public Health,0,1
2512,Golden Jubilee National Hospital,0,1
2513,"Laboratoire Inserm, SAINBIOSE, U1059",0,1
2514,Goldman Health Sciences Faculty,0,1
2515,Lab. of Medical Informatics,0,1
2516,Graduate Academy,0,1
2517,Graduate Institute of Biomedical Sciences,0,1
2518,Graduate School Medicine/School of Public Health,0,1
2519,LaBRI - CNRS UMR5800,0,1
2520,Graduate School of Applied Informatics,0,1
2521,Graduate School of Biomedical Engineering,0,1
2522,LTSI Université-Rennes 1,0,2
2523,Graduate School of Economics,0,1
2524,LRI,0,1
2525,Graduate School of Informatics,0,1
2526,LOIDL Consulting & IT Services GmbH,0,1
2527,LKS Faculty of Medicine,0,2
2528,LITIS-TIBS EA 4108,0,1
2529,LITIS UR 4108,0,1
2530,Graduate School of Medicine,0,7
2531,LITIS EA 4108,0,2
2532,LISN - CNRS,0,1
2533,LISI,0,1
2534,LIRMM UMR 5506,0,2
2535,HL7 International,0,1
2536,Krankenanstaltenges.m.b.H,0,1
2537,KETEKNY (Greek DRG Institute),0,1
2538,Karlsruhe Institute of Technology,0,2
2539,Kharkiv State Advanced Training Institute for Physicians,0,1
2540,Kereval,0,1
2541,Kepler University Clinic,0,1
2542,Health Data Hub,0,1
2543,Health Data Protection Ltd,0,1
2544,Keck School of Medicine,0,1
2545,Health Data Research,0,2
2546,Health Education and Innovation Center,0,1
2547,Health Info Net,0,1
2548,Health Informatics Center,0,1
2549,Health Informatics Centre (HIC),0,1
2550,Health Informatics Institute,0,1
2551,Kotuko srl,0,1
2552,Health Information Management Research Center,0,1
2553,Kanta-Häme Central Hospital,0,1
2554,Kangbuk Samsung Hospital,0,3
2555,Kakao Healthcare Corp.,0,1
2556,Kaiser Permanente,0,1
2557,Kaduceo,0,1
2558,KV Schleswig-Holstein,0,1
2559,Health Information Management and Statistics Office,0,2
2560,KTH Royal Institute of Technology,0,1
2561,Health Information System Office,0,1
2562,KKS-UKT gGmbH,0,1
2563,Health Data Analytics and Statistics Center,0,1
2564,Health Claim Medical Chair,0,1
2565,Haynal Imre University of Health Sciences,0,1
2566,Hasso Plattner Institute for Digital Health,0,1
2567,HL7 International Foundation Europe,0,1
2568,HLRS,0,1
2569,Korea Institute of Oriental Medicine,0,2
2570,Korea Healthcare Information Service,0,1
2571,HUG,0,2
2572,Koordinierungszentrum für Klinische Studien,0,2
2573,Konya Technical University,0,1
2574,Koncern HR,0,2
2575,HYGEIA Medical Group,0,2
2576,Kommunedata I-S,0,1
2577,Kochi University,0,1
2578,Hacking Health Berlin,0,1
2579,Knoesis Center,0,1
2580,Hadassah Academic College,0,2
2581,Klinikum der Stadt Ludwigshafen,0,1
2582,Hamburg University of Technology,0,1
2583,Hannover Unified Biobank,0,1
2584,Klinikum Ludwigshafen am Rhein gGmbH,0,1
2585,Harvard Pilgrim Health Care Institute,0,1
2586,Klinik und Poliklinik für Mund- und Kiefer-Gesichtschirurgie,0,1
2587,Klinik und Poliklinik fuer Allgemeine Chirurgie,0,1
2588,Klinik I für Innere Medizin,0,1
2589,Klaus Tschira Institute for Computational Cardiology,0,1
2590,Institute of Normal and Pathological Physiology,0,1
2591,Institute of Neuroscience,0,1
2592,Institute of Neural Engineering,0,1
2593,Institute for Bioengineering of Catalonia,0,2
2594,Institute for Computers ITC S.A.,0,1
2595,Institute for Computers (ITC-SA),0,1
2596,Institute for Computers,0,1
2597,INSIDE M2M GmbH,0,1
2598,INSILIANCE,0,1
2599,Institute for Clinical Chemistry,0,1
2600,Institute for Biotechnology and Biomedicine (BIOTECMED),0,1
2601,Institute for Biostatistics and Informatics in Medicine and Aging Research,0,1
2602,Institute for Biometry and Medical Informatics,0,1
2603,"IRCCS ""E. Medea"" Scientific Institute",0,1
2604,Institute for Biomedical Informatics,0,10
2605,Institute for Applied Medical Informatics,0,2
2606,IRIS Nice - SESSTIM Inserm,0,1
2607,Institute for Advanced Modelling and Simulation,0,1
2608,Institute for AI in Healthcare,0,1
2609,Institute Patient-centered Digital Health,0,1
2610,Institute Josef Stefan,0,1
2611,Institute DigiHealth,0,1
2612,IRCCS Istituto Giannina Gaslini,0,3
2613,IRCCS Istituto Ortopedico Galeazzi,0,2
2614,IRCCS Istituto Ortopedico Rizzoli,0,1
2615,Institut für Medizinische Statistik und Dokumentation,0,1
2616,IRCCS San Martino Polyclinic Hospital,0,1
2617,"Institut für Medizinische Informatik, Statistik und Epidemiologie",0,1
2618,"Institute for Data Science, Cloud Computing, and IT Security",0,1
2619,"INSERM, Sorbonne Université, Centre de Recherche des Cordeliers",0,1
2620,Institute for Diagnostic and Interventional Radiology,0,1
2621,Institute for Digital Health Data,0,2
2622,INSERM UMR 1101 LaTIM,0,1
2623,INSERM UMRS 1142,0,1
2624,Institute for Lung Health,0,1
2625,Institute for Learning and Research Technology,0,1
2626,Institute for Knowledge and Agent Technology,0,1
2627,Institute for Information Transmission Problems of the Russian Academy of Sciences (Kharkevich Institute),0,1
2628,Institute for Information Technology,0,1
2629,"INSERM UMRS 1142, Sorbonne Université",0,1
2630,Institute for Implementation Science in Health Care,0,1
2631,Institute for Hospital Hygiene,0,1
2632,Institute for History and Ethics of Medicine,0,2
2633,Institute for Health and Society,0,2
2634,Institute for Health System Solutions and Virtual Care,0,1
2635,"INSERM, CNRS",0,1
2636,"INSERM, Centre de Recherche des Cordeliers, UMRS 1138",0,2
2637,"INSERM, EFS, CHU Brest, UMR 1078 GGB",0,1
2638,Institute for General Practice and Interprofessional Care,0,1
2639,"INSERM, IRD, SESSTIM, ISSPAM",0,2
2640,Institute for Excellence in Health Professions Education,0,1
2641,"INSERM, LIMICS, UMR_S 1142",0,1
2642,"INSERM, LTSI-UM R 1099",0,1
2643,"INSERM, Laboratoire d'Informatique Médicale et d'Ingénierie des connaissances en e-Santé, LIMICS",0,2
2644,Institute for Digital Health Data Rhineland-Palatinate,0,1
2645,"Institut für Medizinische Informatik, Biometrie und Epidemiologie",0,2
2646,Institut für Medizinische Informatik und Biomathematik,0,1
2647,INSERM U970,0,1
2648,Innovative Research Center for Preventive Medical Engineering,0,3
2649,"Inserm, Centre de Recherche des Cordeliers",0,1
2650,IVMed,0,1
2651,Inserm UMR S1139,0,2
2652,Inserm UMR 1219,0,1
2653,Inserm U1219,0,1
2654,IWT2 Research Group,0,1
2655,Insel Gruppe,0,1
2656,"Inria, Inserm",0,1
2657,IZKF,0,1
2658,Imec,0,1
2659,Innsbruck Medical University,0,1
2660,Imperial College London,0,1
2661,"Institut für Medizinische Biometrie, Informatik und Epidemiologie",0,1
2662,Independent Trusted Third Party,0,1
2663,Innovation Center Computer Assisted Surgery (ICCAS),0,1
2664,Indian Institute of Technology (BHU),0,1
2665,Innovamed,0,1
2666,Inholland University of Applied Sciences,0,1
2667,Inha University,0,3
2668,Indian Institute of Technology Hyderabad,0,2
2669,Informatics for Life,0,1
2670,Inebir INC,0,1
2671,"Inera AB, Swedish Association of Local Authorities and Regions",0,1
2672,Infonet,0,1
2673,ITC-Institute for Computers,0,1
2674,"Inserm, UMR S_1142, LIMICS",0,1
2675,Inserm-U1219,0,1
2676,ITBM-CNR,0,1
2677,"Institut für Medizinische Biometrie, Epidemiologie und Medizinische Informatik",0,1
2678,Institut für Medizinische Biometrie und Medizinische Informatik,0,1
2679,Institut für Medizinische Biometrie und Informatik,0,1
2680,IRIT,0,1
2681,IRPPS-CNR,0,2
2682,Institut für Epidemiologie und Sozialmedizin,0,1
2683,IRSAN,0,1
2684,Institut für Diagnostiche und Interventionelle Radiologie,0,1
2685,Institut für Biometrie,0,1
2686,Institut für Biomedizinische Informatik,0,1
2687,Institut des Sciences de la Santé Publique d'Aix-Marseille,0,1
2688,ISTAT,0,1
2689,Institut de Radiologie de Sion (IRS),0,1
2690,IT/Telecom Bretagne,0,1
2691,ITACA,0,2
2692,Institut National Polytechnique Félix Houphouët Boigny,0,1
2693,"Institut Mines-Télécom, Télécom Bretagne, LaTIM - INSERM U1101",0,1
2694,Institut Mines-Telecom;Telecom Bretagne; Latim Inserm UMR1101,0,1
2695,Institut Mines-Telecom; Telecom Bretagne; Latim Inserm UMR1101,0,1
2696,Institut Mines-TELECOM,0,3
2697,Institut Imagine,0,1
2698,Institut Curie,0,2
2699,Institut BMTI,0,1
2700,INSERM UMR 1018 CESP,0,2
2701,"Institute for Medical Epidemiology, Biometrics and Informatics",0,2
2702,Hôpital Cantonal Universitaire,0,1
2703,IBM Research Haifa Labs,0,1
2704,"IBE - Institute for Medical Informatics, Biometry and Epidemiology",0,1
2705,IBISC Laboratory,0,2
2706,Institute of Health and Society,0,1
2707,IBM Research - China,0,2
2708,IBM Research Africa,0,1
2709,Institute of Health Policy Management and Evaluation,0,1
2710,IBM Research Europe,0,1
2711,Institute of General Practice/Family Medicine,0,1
2712,Institute of General Practice and Interprofessional Care,0,1
2713,Institute of General Practice and Family Medicine,0,1
2714,Institute of General Practice & Family Medicine,0,1
2715,IBM Research Ireland,0,1
2716,IGHS,0,1
2717,IBM Services,0,1
2718,Institute of Experimental and Clinical Pharmacology and Toxicology,0,1
2719,Institute of Experimental and Clinical Pharmacology,0,1
2720,IBM Thomas J. Watson Research Center,0,1
2721,Institute of Engineering - Polytechnic of Porto,0,2
2722,ICO,0,1
2723,Institute of Electronics and Informatics Engineering,0,1
2724,ICSS,0,1
